month_end,month_end_price,monthly_return,monthly_return_pct
2005-08-31,13.65,0.0029390154298309934,0.29390154298309934
2005-09-30,13.81,0.01172161172161168,1.172161172161168
2005-10-31,13.58,-0.016654598117306296,-1.6654598117306296
2005-11-30,13.96,0.02798232695139924,2.798232695139924
2005-12-31,14.13,0.012177650429799458,1.2177650429799458
2006-01-31,14.61,0.03397027600849256,3.397027600849256
2006-02-28,14.61,0.0,0.0
2006-03-31,14.86,0.017111567419575646,1.7111567419575646
2006-04-30,15.1,0.016150740242261152,1.6150740242261152
2006-05-31,14.73,-0.024503311258278093,-2.4503311258278093
2006-06-30,14.77,0.0027155465037338455,0.27155465037338455
2006-07-31,14.8,0.0020311442112390665,0.20311442112390665
2006-08-31,15.09,0.01959459459459456,1.959459459459456
2006-09-30,15.29,0.013253810470510219,1.3253810470510219
2006-10-31,15.74,0.029431000654022377,2.9431000654022377
2006-11-30,16.06,0.020330368487928796,2.0330368487928796
2006-12-31,16.25,0.011830635118306398,1.1830635118306398
2007-01-31,16.48,0.014153846153846183,1.4153846153846183
2007-02-28,16.4,-0.004854368932038944,-0.4854368932038944
2007-03-31,16.59,0.011585365853658658,1.1585365853658658
2007-04-30,17.08,0.029535864978902815,2.9535864978902815
2007-05-31,17.51,0.02517564402810324,2.517564402810324
2007-06-30,17.37,-0.0079954311821816,-0.79954311821816
2007-07-31,17.0,-0.021301093839954044,-2.1301093839954044
2007-08-31,17.15,0.008823529411764675,0.8823529411764675
2007-09-30,17.68,0.03090379008746358,3.090379008746358
2007-10-31,18.05,0.0209276018099549,2.09276018099549
2007-11-30,17.52,-0.02936288088642669,-2.936288088642669
2007-12-31,17.41,-0.006278538812785395,-0.6278538812785395
2008-01-31,16.59,-0.047099368179207346,-4.709936817920735
2008-02-29,16.34,-0.015069318866787196,-1.5069318866787196
2008-03-31,16.31,-0.001835985312117594,-0.1835985312117594
2008-04-30,16.92,0.03740036787247103,3.740036787247103
2008-05-31,17.17,0.014775413711583862,1.4775413711583862
2008-06-30,16.16,-0.05882352941176483,-5.882352941176483
2008-07-31,15.9878,-0.010655940594059388,-1.0655940594059388
2008-08-31,16.0151,0.0017075520084064433,0.17075520084064433
2008-09-30,14.8559,-0.07238168978026993,-7.238168978026993
2008-10-31,12.8647,-0.13403428940690232,-13.403428940690231
2008-11-30,12.2264,-0.049616392142840415,-4.961639214284041
2008-12-31,12.623,0.03243800300988031,3.243800300988031
2009-01-31,11.7787,-0.06688584330190916,-6.688584330190917
2009-02-28,10.8992,-0.07466868160323292,-7.466868160323292
2009-03-31,11.586,0.06301379917792138,6.301379917792138
2009-04-30,12.5359,0.08198688071810811,8.19868807181081
2009-05-31,13.2189,0.05448352332102191,5.448352332102191
2009-06-30,13.2352,0.0012330829342834804,0.12330829342834804
2009-07-31,14.0503,0.0615857712765957,6.15857712765957
2009-08-31,14.4753,0.030248464445599144,3.0248464445599144
2009-09-30,14.9301,0.031419037947399975,3.1419037947399975
2009-10-31,14.6594,-0.018131157862305014,-1.8131157862305014
2009-11-30,15.1792,0.03545847715459027,3.5458477154590273
2009-12-31,15.4603,0.018518762517128806,1.8518762517128806
2010-01-31,15.0754,-0.024896024009883333,-2.4896024009883333
2010-02-28,15.3674,0.019369303633734347,1.9369303633734347
2010-03-31,16.0622,0.045212592891445524,4.521259289144552
2010-04-30,16.2134,0.00941340538655977,0.941340538655977
2010-05-31,15.2296,-0.06067820444817251,-6.067820444817251
2010-06-30,14.7753,-0.029830067762777746,-2.9830067762777746
2010-07-31,15.6316,0.05795483002037183,5.795483002037183
2010-08-31,15.1821,-0.02875585352747001,-2.875585352747001
2010-09-30,16.21,0.06770473122954002,6.770473122954002
2010-10-31,16.6603,0.02777914867365805,2.777914867365805
2010-11-30,16.5678,-0.005552120910187752,-0.5552120910187752
2010-12-31,17.3903,0.049644491121331846,4.964449112133185
2011-01-31,17.664,0.015738658907552106,1.5738658907552106
2011-02-28,18.1229,0.025979393115941996,2.5979393115941996
2011-03-31,18.1143,-0.00047453773954508893,-0.04745377395450889
2011-04-30,18.6267,0.02828704393766257,2.828704393766257
2011-05-31,18.4466,-0.009668916125776361,-0.9668916125776361
2011-06-30,18.2437,-0.0109993169472965,-1.09993169472965
2011-07-31,18.0156,-0.012502946222531675,-1.2502946222531675
2011-08-31,17.1816,-0.04629321254912411,-4.62932125491241
2011-09-30,16.164,-0.05922614890347799,-5.922614890347799
2011-10-31,17.406,0.07683741648106879,7.683741648106879
2011-11-30,17.3212,-0.004871883258646292,-0.48718832586462923
2011-12-31,17.3371,0.0009179502574878651,0.09179502574878651
2012-01-31,17.9901,0.037664892052304166,3.7664892052304166
2012-02-29,18.5482,0.03102261799545314,3.102261799545314
2012-03-31,18.825,0.014923280965268848,1.4923280965268848
2012-04-30,18.7268,-0.005216467463479368,-0.5216467463479368
2012-05-31,17.7474,-0.052299378430911925,-5.229937843091193
2012-06-30,18.3367,0.033204863811037155,3.3204863811037155
2012-07-31,18.4663,0.007067793005284484,0.7067793005284484
2012-08-31,18.8252,0.01943540395206389,1.943540395206389
2012-09-30,19.1767,0.018671780379491354,1.8671780379491354
2012-10-31,19.0613,-0.00601771941992113,-0.601771941992113
2012-11-30,19.2392,0.009333046539323098,0.9333046539323098
2012-12-31,19.5233,0.014766726267204433,1.4766726267204433
2013-01-31,20.2193,0.035649710858307815,3.5649710858307815
2013-02-28,20.3179,0.004876528861038842,0.48765288610388424
2013-03-31,20.7487,0.021202978654289995,2.1202978654289995
2013-04-30,21.1444,0.019071074332367877,1.9071074332367877
2013-05-31,21.2359,0.0043273869204139,0.43273869204139004
2013-06-30,20.9806,-0.012022094660457117,-1.2022094660457117
2013-07-31,21.7614,0.03721533225932516,3.7215332259325162
2013-08-31,21.4137,-0.015977832308583073,-1.5977832308583073
2013-09-30,22.1408,0.033954898032567904,3.3954898032567904
2013-10-31,22.7501,0.027519330828154498,2.75193308281545
2013-11-30,23.0995,0.015358174249783474,1.5358174249783474
2013-12-31,23.4591,0.015567436524600131,1.5567436524600131
2014-01-31,22.981,-0.020380150986184398,-2.0380150986184398
2014-02-28,23.7712,0.03438492667856052,3.4384926678560523
2014-03-31,23.8055,0.001442922528101187,0.1442922528101187
2014-04-30,23.8939,0.0037134275692591867,0.37134275692591867
2014-05-31,24.2421,0.014572757063518349,1.457275706351835
2014-06-30,24.6103,0.015188453145560832,1.5188453145560832
2014-07-31,24.2796,-0.013437463175987263,-1.3437463175987263
2014-08-31,24.7831,0.020737573930377895,2.0737573930377895
2014-09-30,24.3282,-0.018355250150304148,-1.8355250150304148
2014-10-31,24.6602,0.013646714512376645,1.3646714512376645
2014-11-30,24.9738,0.01271684738972123,1.271684738972123
2014-12-31,24.8062,-0.006711033162754565,-0.6711033162754565
2015-01-31,24.5996,-0.008328563020535307,-0.8328563020535307
2015-02-28,25.5352,0.038033138750223516,3.8033138750223516
2015-03-31,25.3877,-0.0057763401109057755,-0.5776340110905775
2015-04-30,25.6301,0.009547930690846362,0.9547930690846362
2015-05-31,25.7891,0.006203643372441059,0.6203643372441059
2015-06-30,25.4596,-0.012776715744248657,-1.2776715744248657
2015-07-31,25.7713,0.012242926047542069,1.2242926047542069
2015-08-31,24.7302,-0.04039765165125542,-4.039765165125542
2015-09-30,24.1703,-0.022640334489814062,-2.2640334489814062
2015-10-31,25.3495,0.04878714786328664,4.878714786328664
2015-11-30,25.3993,0.001964535789660493,0.1964535789660493
2015-12-31,25.0635,-0.013220836794714752,-1.3220836794714752
2016-01-31,24.1674,-0.03575318690526064,-3.5753186905260637
2016-02-29,24.0683,-0.004100565224227637,-0.4100565224227637
2016-03-31,25.1606,0.04538334655958254,4.538334655958254
2016-04-30,25.3492,0.007495846680921847,0.7495846680921847
2016-05-31,25.5801,0.009108768718539606,0.9108768718539606
2016-06-30,25.5015,-0.0030727010449529413,-0.3072701044952941
2016-07-31,26.2275,0.028468913593318046,2.8468913593318046
2016-08-31,26.2747,0.0017996377847679934,0.17996377847679934
2016-09-30,26.3751,0.003821166369168738,0.3821166369168738
2016-10-31,26.0074,-0.013941179369935996,-1.3941179369935996
2016-11-30,26.4163,0.01572244822627411,1.572244822627411
2016-12-31,26.8356,0.015872775521174498,1.5872775521174498
2017-01-31,27.2338,0.014838498114444931,1.4838498114444931
2017-02-28,27.7675,0.01959697141052663,1.9596971410526631
2017-03-31,27.9439,0.006352750517691685,0.6352750517691685
2017-04-30,28.2419,0.010664223676723816,1.0664223676723816
2017-05-31,28.5857,0.012173401931173222,1.2173401931173222
2017-06-30,28.7165,0.004575714430641975,0.4575714430641975
2017-07-31,29.1255,0.014242682778193627,1.4242682778193627
2017-08-31,29.1797,0.0018609122590169669,0.1860912259016967
2017-09-30,29.6461,0.015983714705771535,1.5983714705771535
2017-10-31,30.0219,0.012676203615315185,1.2676203615315185
2017-11-30,30.4886,0.015545318584100354,1.5545318584100354
2017-12-31,30.7362,0.008121068202541215,0.8121068202541215
2018-01-31,31.6947,0.03118472680422446,3.118472680422446
2018-02-28,30.9092,-0.02478332339476319,-2.478332339476319
2018-03-31,30.6682,-0.007797031304595414,-0.7797031304595414
2018-04-30,30.8369,0.005500811915925885,0.5500811915925885
2018-05-31,31.1405,0.009845347619248379,0.9845347619248379
2018-06-30,31.1841,0.001400105971323562,0.1400105971323562
2018-07-31,31.779,0.019077029640105048,1.9077029640105048
2018-08-31,32.1846,0.012763145473426052,1.2763145473426052
2018-09-30,32.2593,0.0023209858130908145,0.23209858130908145
2018-10-31,30.7742,-0.04603633680830033,-4.603633680830033
2018-11-30,31.079,0.009904400439329164,0.9904400439329164
2018-12-31,29.6369,-0.04640110685671994,-4.640110685671994
2019-01-31,31.0951,0.04920217701581464,4.920217701581464
2019-02-28,31.7178,0.020025663207386524,2.0025663207386524
2019-03-31,31.9949,0.008736419297681541,0.8736419297681541
2019-04-30,32.7081,0.022291052636513875,2.2291052636513875
2019-05-31,31.6076,-0.03364609989574452,-3.364609989574452
2019-06-30,32.907,0.04111036586137495,4.111036586137495
2019-07-31,32.9771,0.0021302458443492878,0.21302458443492878
2019-08-31,32.6621,-0.009552083112220222,-0.9552083112220222
2019-09-30,33.0793,0.012773214214640172,1.2773214214640172
2019-10-31,33.6301,0.01665089648208995,1.665089648208995
2019-11-30,34.2263,0.017728166136883328,1.7728166136883328
2019-12-31,34.8529,0.018307558807115987,1.8307558807115987
2020-01-31,34.6956,-0.004513254277262457,-0.45132542772624573
2020-02-29,33.0835,-0.0464641049585538,-4.646410495855379
2020-03-31,30.1989,-0.0871915002947089,-8.71915002947089
2020-04-30,32.2267,0.06714814115745948,6.714814115745948
2020-05-31,33.2744,0.03251030977419345,3.2510309774193447
2020-06-30,33.8766,0.018097997259154397,1.8097997259154397
2020-07-31,34.8308,0.028166935288665318,2.816693528866532
2020-08-31,36.1593,0.03814152991030917,3.814152991030917
2020-09-30,35.466,-0.01917349063726348,-1.917349063726348
2020-10-31,34.8962,-0.016066091467884736,-1.6066091467884736
2020-11-30,37.7239,0.08103174557688231,8.10317455768823
2020-12-31,38.777,0.02791598959810626,2.791598959810626
2021-01-31,38.6548,-0.0031513526059261388,-0.3151352605926139
2021-02-28,39.3109,0.016973312499353188,1.6973312499353188
2021-03-31,40.0113,0.017816941357231775,1.7816941357231775
2021-04-30,41.1067,0.02737726592237677,2.737726592237677
2021-05-31,41.5177,0.009998370095385845,0.9998370095385845
2021-06-30,41.8455,0.00789542773323193,0.789542773323193
2021-07-31,42.2306,0.009202901148271714,0.9202901148271714
2021-08-31,42.865,0.015022282420803945,1.5022282420803945
2021-09-30,41.8483,-0.023718651580543537,-2.3718651580543537
2021-10-31,43.1608,0.03136328118465981,3.136328118465981
2021-11-30,42.4936,-0.015458471576059729,-1.545847157605973
2021-12-31,43.573,0.025401472221699306,2.5401472221699306
2022-01-31,42.1224,-0.03329125834805957,-3.329125834805957
2022-02-28,41.5109,-0.014517216492887397,-1.4517216492887397
2022-03-31,41.9822,0.011353644464465962,1.1353644464465962
2022-04-30,39.8339,-0.051171687048320424,-5.117168704832043
2022-05-31,39.6951,-0.0034844692585963566,-0.34844692585963566
2022-06-30,37.9593,-0.043728319112434466,-4.372831911243447
2022-07-31,39.8555,0.049953502830663465,4.9953502830663465
2022-08-31,38.7643,-0.02737890629900519,-2.737890629900519
2022-09-30,36.4981,-0.05846100664786924,-5.846100664786924
2022-10-31,38.1467,0.045169474575389,4.5169474575389
2022-11-30,40.1358,0.0521434357362498,5.21434357362498
2022-12-31,39.0754,-0.02642030307107368,-2.642030307107368
2023-01-31,40.9794,0.048726308623839865,4.8726308623839865
2023-02-28,40.3499,-0.015361376691703676,-1.5361376691703676
2023-03-31,41.1032,0.018669191249544692,1.8669191249544692
2023-04-30,41.541,0.010651238832986243,1.0651238832986243
2023-05-31,41.2798,-0.006287763895909904,-0.6287763895909904
2023-06-30,42.8237,0.037400859500288375,3.7400859500288375
2023-07-31,43.7577,0.021810352678540035,2.1810352678540035
2023-08-31,43.0808,-0.015469277407176296,-1.5469277407176296
